relation,display_relation,x_index,x_id,x_type,x_name,x_source,y_index,y_id,y_type,y_name,y_source
indication,indication,16687,DB00492,drug,Fosinopril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,16687,DB00492,drug,Fosinopril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,20297,DB11783,drug,Imidapril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,20297,DB11783,drug,Imidapril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,16693,DB01340,drug,Cilazapril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,16693,DB01340,drug,Cilazapril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14944,DB00381,drug,Amlodipine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14944,DB00381,drug,Amlodipine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,15762,DB00519,drug,Trandolapril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,15762,DB00519,drug,Trandolapril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14836,DB00178,drug,Ramipril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14836,DB00178,drug,Ramipril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14421,DB09229,drug,Aranidipine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14421,DB09229,drug,Aranidipine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14835,DB00542,drug,Benazepril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14835,DB00542,drug,Benazepril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,16214,DB08822,drug,Azilsartan medoxomil,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,16214,DB08822,drug,Azilsartan medoxomil,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14327,DB01275,drug,Hydralazine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14327,DB01275,drug,Hydralazine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14255,DB00881,drug,Quinapril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14255,DB00881,drug,Quinapril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,16694,DB01348,drug,Spirapril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,16694,DB01348,drug,Spirapril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,20301,DB13312,drug,Delapril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,20301,DB13312,drug,Delapril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14846,DB00790,drug,Perindopril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14846,DB00790,drug,Perindopril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,16699,DB13166,drug,Zofenopril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,16699,DB13166,drug,Zofenopril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14152,DB00310,drug,Chlorthalidone,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14152,DB00310,drug,Chlorthalidone,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,16690,DB00722,drug,Lisinopril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,16690,DB00722,drug,Lisinopril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,16698,DB09477,drug,Enalaprilat,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,16698,DB09477,drug,Enalaprilat,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14200,DB00584,drug,Enalapril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14200,DB00584,drug,Enalapril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,15426,DB00270,drug,Isradipine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,15426,DB00270,drug,Isradipine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,15108,DB00590,drug,Doxazosin,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,15108,DB00590,drug,Doxazosin,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,17278,DB12465,drug,Ketanserin,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,17278,DB12465,drug,Ketanserin,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14762,DB00436,drug,Bendroflumethiazide,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14762,DB00436,drug,Bendroflumethiazide,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14308,DB01136,drug,Carvedilol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14308,DB01136,drug,Carvedilol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14984,DB01023,drug,Felodipine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14984,DB01023,drug,Felodipine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,15451,DB00612,drug,Bisoprolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,15451,DB00612,drug,Bisoprolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,15175,DB01580,drug,Oxprenolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,15175,DB01580,drug,Oxprenolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14946,DB00401,drug,Nisoldipine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14946,DB00401,drug,Nisoldipine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,15079,DB00195,drug,Betaxolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,15079,DB00195,drug,Betaxolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,16303,DB01162,drug,Terazosin,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,16303,DB01162,drug,Terazosin,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14317,DB01197,drug,Captopril,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14317,DB01197,drug,Captopril,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,15580,DB06762,drug,Pinacidil,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,15580,DB06762,drug,Pinacidil,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,17647,DB00657,drug,Mecamylamine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,17647,DB00657,drug,Mecamylamine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,16793,DB00880,drug,Chlorothiazide,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,16793,DB00880,drug,Chlorothiazide,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14276,DB00999,drug,Hydrochlorothiazide,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14276,DB00999,drug,Hydrochlorothiazide,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,15245,DB11770,drug,Talinolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,15245,DB11770,drug,Talinolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,15186,DB04846,drug,Celiprolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,15186,DB04846,drug,Celiprolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14133,DB00214,drug,Torasemide,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14133,DB00214,drug,Torasemide,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14959,DB00622,drug,Nicardipine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14959,DB00622,drug,Nicardipine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,17344,DB02925,drug,Piretanide,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,17344,DB02925,drug,Piretanide,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,19223,DB01626,drug,Pargyline,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,19223,DB01626,drug,Pargyline,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14809,DB00968,drug,Methyldopa,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14809,DB00968,drug,Methyldopa,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,17308,DB01170,drug,Guanethidine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,17308,DB01170,drug,Guanethidine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,16854,DB11738,drug,Rilmenidine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,16854,DB11738,drug,Rilmenidine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14217,DB00695,drug,Furosemide,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14217,DB00695,drug,Furosemide,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14196,DB00571,drug,Propranolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14196,DB00571,drug,Propranolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14212,DB00661,drug,Verapamil,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14212,DB00661,drug,Verapamil,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14168,DB00421,drug,Spironolactone,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14168,DB00421,drug,Spironolactone,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,15105,DB00521,drug,Carteolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,15105,DB00521,drug,Carteolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14142,DB00264,drug,Metoprolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14142,DB00264,drug,Metoprolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,15304,DB00629,drug,Guanabenz,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,15304,DB00629,drug,Guanabenz,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14938,DB00206,drug,Reserpine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14938,DB00206,drug,Reserpine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14271,DB00982,drug,Isotretinoin,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14271,DB00982,drug,Isotretinoin,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14163,DB00343,drug,Diltiazem,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14163,DB00343,drug,Diltiazem,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14582,DB01203,drug,Nadolol,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14582,DB01203,drug,Nadolol,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,14198,DB00575,drug,Clonidine,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
indication,indication,14198,DB00575,drug,Clonidine,DrugBank,36035,1200_1134_15512_5080_100078,disease,hypertension,MONDO_grouped
indication,indication,17304,DB00226,drug,Guanadrel,DrugBank,33577,5044,disease,hypertensive disorder,MONDO
